Kline open time,Open price,high,low,close,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,timestamp,short_ma,long_ma,rsi,macd,macd_signal,bb_upper,bb_middle,bb_lower,atr
2024-12-05 04:00:00-03:00,609841.0,619537.0,608000.0,613765.0,85.09881,2024-12-05 07:59:59.999000-03:00,52335598.63935,12161,39.7607,24457021.31815,2024-12-05 04:00:00-03:00,596991.5714285715,586509.4761904762,74.26276171939695,,,625398.7397366506,602152.8,578906.8602633495,9356.259394790035
2024-12-05 08:00:00-03:00,613878.0,621105.0,612620.0,620247.0,130.38213,2024-12-05 11:59:59.999000-03:00,80552579.26261,22426,66.67419,41198479.79845,2024-12-05 08:00:00-03:00,602043.8571428572,588059.9047619047,77.04457430090672,7617.403965631733,2387.3445139022338,627230.2057685803,609465.0,591699.7942314197,9294.026580876462
2024-12-05 12:00:00-03:00,620247.0,620487.0,603560.0,603796.0,113.61263,2024-12-05 15:59:59.999000-03:00,69394270.97746,19971,49.41053,30166698.06636,2024-12-05 12:00:00-03:00,604972.4285714285,589184.4761904762,59.47477844074004,7466.15237299155,3403.1060857200973,622345.2206470143,611551.4,600757.5793529857,9839.238967956713
2024-12-05 16:00:00-03:00,603795.0,608279.0,563147.0,586131.0,182.26156,2024-12-05 19:59:59.999000-03:00,107856305.81132,27227,83.16504,49242391.10786,2024-12-05 16:00:00-03:00,605321.7142857143,589844.7142857143,47.06353661176513,5853.392266245093,3893.1633218250963,630035.1885067648,606785.0,583534.8114932352,12360.150470245519
2024-12-05 20:00:00-03:00,586267.0,605243.0,578694.0,591458.0,80.05213,2024-12-05 23:59:59.999000-03:00,47170307.23611,14309,43.38709,25570540.3734,2024-12-05 20:00:00-03:00,605049.4285714285,590118.2380952381,50.423336699140876,4948.074322027736,4104.145521865625,628874.3956883077,603079.4,577284.4043116923,13373.639722370837
2024-12-06 00:00:00-03:00,591500.0,595332.0,588868.0,593509.0,16.2704,2024-12-06 03:59:59.999000-03:00,9632075.34867,4025,7.39921,4379812.42301,2024-12-06 00:00:00-03:00,602698.8571428572,590718.8571428572,51.69456102202006,4346.003860637778,4152.517189620055,623145.8558529292,599028.2,574910.5441470707,12880.094027915778
2024-12-06 04:00:00-03:00,593637.0,596820.0,591676.0,595317.0,28.86825,2024-12-06 07:59:59.999000-03:00,17160437.43953,5612,14.65228,8709174.72095,2024-12-06 04:00:00-03:00,600603.2857142857,591450.9047619047,52.84248534373257,3968.9970448977547,4115.813160675595,605576.8853203797,594042.2,582507.5146796202,12327.515883064652
2024-12-06 08:00:00-03:00,595398.0,603514.0,588294.0,603321.0,87.72584,2024-12-06 11:59:59.999000-03:00,52228486.02621,15851,41.54556,24741822.46307,2024-12-06 08:00:00-03:00,599111.2857142857,592365.3333333334,57.64149064877587,4266.886325501371,4146.02779364075,605162.3895855659,593947.2,582732.010414434,12534.121891417177
2024-12-06 12:00:00-03:00,603322.0,618670.0,599087.0,616947.0,121.02646,2024-12-06 15:59:59.999000-03:00,73807220.3743,18255,63.24855,38564729.71658,2024-12-06 12:00:00-03:00,598639.8571428572,594083.619047619,64.30177708085172,5538.624236794771,4424.547082271554,618769.4084023727,600110.4,581451.3915976273,13037.61318488738
2024-12-06 16:00:00-03:00,616773.0,620438.0,611764.0,612688.0,76.67412,2024-12-06 19:59:59.999000-03:00,47303501.0973,14241,39.82819,24583182.08428,2024-12-06 16:00:00-03:00,599910.1428571428,595800.9047619047,61.069556838349314,6132.132580551202,4766.064181927484,622868.8316976421,604356.4,585843.968302358,12725.926528823995
2024-12-06 20:00:00-03:00,612533.0,613865.0,604639.0,611900.0,34.27902,2024-12-06 23:59:59.999000-03:00,20928714.17313,8071,15.91287,9719210.08018,2024-12-06 20:00:00-03:00,603591.4285714285,597279.4285714285,60.46396798099898,6464.389743544976,5105.729294250983,623526.060801358,608034.6,592543.139198642,12475.931776765137
2024-12-07 00:00:00-03:00,611901.0,611902.0,605305.0,608742.0,13.4525,2024-12-07 03:59:59.999000-03:00,8184148.19504,3300,5.73742,3490743.16264,2024-12-07 00:00:00-03:00,606060.5714285715,598661.3333333334,57.98243446866148,6399.116697531077,5364.406774907002,619783.7552149117,610719.6,601655.4447850883,12056.008078424771
2024-12-07 04:00:00-03:00,608776.0,611419.0,607010.0,609813.0,8.79586,2024-12-07 07:59:59.999000-03:00,5361482.7782,2857,4.84909,2955374.55263,2024-12-07 04:00:00-03:00,608389.7142857143,599899.4761904762,58.60295319010462,6360.488337291987,5563.623087383999,617699.694535968,612018.0,606336.305464032,11509.793215680143
2024-12-07 08:00:00-03:00,609832.0,612500.0,608122.0,610680.0,39.44843,2024-12-07 11:59:59.999000-03:00,24069607.05474,8273,23.18322,14145848.98141,2024-12-07 08:00:00-03:00,610584.4285714285,601315.619047619,59.12915451215077,6326.902148075635,5716.278899522325,613591.9254075548,610764.6,607937.2745924451,11000.379414560133
2024-12-07 12:00:00-03:00,610644.0,614996.0,610000.0,614402.0,34.33634,2024-12-07 15:59:59.999000-03:00,21014643.13687,8671,17.88882,10947567.58398,2024-12-07 12:00:00-03:00,612167.4285714285,602756.7619047619,61.397651743672185,6525.3984140960965,5878.10280243708,614999.5318785543,611107.4,607215.2681214458,10571.49517066298
2024-12-07 16:00:00-03:00,614375.0,616350.0,612677.0,612716.0,27.55939,2024-12-07 19:59:59.999000-03:00,16941878.01936,6511,13.56309,8337357.54334,2024-12-07 16:00:00-03:00,611563.0,604082.2380952381,59.779051736045815,6472.056190447183,5996.893480039101,615346.0946889869,611270.6,607195.1053110131,10078.745515615625
